"SITE_ID","YEAR","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"SHE604","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.243","0.434","0.28","0.317","0.591","0.206","0.11","0.025","0.02","0.025","0.022"
"DEN417","2020.0","12/31/2019 09:00:00","12/29/2020 08:00:00","0.238","0.272","0.052","0.059","0.111","0.091","0.02","0.038","0.009","0.015","0.038"
"RCK163","1991.0","01/01/1991 09:00:00","12/31/1991 08:00:00","0.283","0.636","0.545","0.337","0.877","0.35","","","","",""
"MCK131","1994.0","01/04/1994 09:00:00","01/03/1995 08:00:00","10.751","6.255","1.053","2.967","3.982","2.083","","","","",""
"GLR468","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.199","0.393","0.181","0.213","0.39","0.164","0.105","0.033","0.021","0.044","0.021"
"GTH161","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.102","0.299","0.133","0.173","0.303","0.119","0.119","0.03","0.019","0.032","0.018"
"ALH257","1989.0","01/03/1989 09:00:00","01/02/1990 08:00:00","","","","2.395","","","","","","",""
"GAS153","2000.0","01/04/2000 09:00:00","01/02/2001 08:00:00","5.118","4.506","0.538","2.195","2.699","1.469","0.129","0.233","0.04","0.083",""
"ROM206","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.119","0.326","0.173","0.316","0.485","0.147","0.074","0.024","0.012","0.019","0.016"
"BBE401","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","0.895","2.387","0.596","0.601","1.188","0.706","0.66","0.193","0.048","0.061",""
"GRC474","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.23","0.611","0.222","0.495","0.709","0.214","0.161","0.076","0.028","0.029","0.036"
"MAC426","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","1.688","2.346","0.929","0.935","1.849","0.99","0.208","0.087","0.032","0.07","0.04"
"HOW191","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.462","0.9","0.245","0.257","0.497","0.308","0.042","0.17","0.024","0.038","0.116"
"EGB181","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","4.161","3.083","2.602","1.117","3.701","1.561","0.68","0.129","0.064","0.054",""
"PED108","2021.0","12/29/2020 09:00:00","01/04/2022 08:00:00","0.337","0.893","0.278","0.481","0.752","0.322","0.107","0.113","0.027","0.066","0.059"
"DCP214","1991.0","01/01/1991 09:00:00","12/31/1991 08:00:00","","6.982","1.397","","","2.517","","","","",""
"SHN418","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","4.297","3.878","0.49","1.725","2.187","1.302","0.164","0.086","0.032","0.044","0.032"
"CAD150","2013.0","01/01/2013 09:00:00","12/31/2013 08:00:00","0.694","1.982","0.404","0.746","1.138","0.627","0.172","0.158","0.038","0.092","0.044"
"FOR605","2020.0","12/31/2019 09:00:00","12/29/2020 08:00:00","0.227","0.413","0.171","0.406","0.57","0.164","0.14","0.025","0.021","0.037","0.016"
"MCK131","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","3.205","3.34","0.916","1.297","2.192","1.314","0.241","0.092","0.038","0.085","0.044"
"PNF126","1988.0","12/29/1987 09:00:00","01/03/1989 08:00:00","","","","","","","","","","",""
"DEN417","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","0.48","0.433","0.069","0.071","0.139","0.121","0.023","0.049","0.012","0.015","0.04"
"CDZ171","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","2.379","3.113","0.938","1.104","2.025","1.196","0.287","0.113","0.041","0.095","0.052"
"CHA467","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.206","0.558","0.31","0.45","0.753","0.2","0.238","0.105","0.032","0.047","0.056"
"SUM156","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","1.3","2.902","0.492","0.782","1.261","0.673","0.126","0.565","0.08","0.072",""
"NPT006","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.12","0.313","0.121","0.248","0.366","0.132","0.043","0.03","0.012","0.035","0.021"
"PSU106","1989.0","01/03/1989 09:00:00","01/02/1990 08:00:00","16.579","6.136","1.474","2.439","3.865","2.409","0.351","0.125","0.058","0.157",""
"KEF112","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","10.199","4.297","0.393","1.887","2.25","1.192","","","","",""
"CDR119","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","1.803","2.897","0.263","0.617","0.87","0.983","0.144","0.057","0.024","0.071","0.045"
"WST109","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"LRL117","2020.0","12/31/2019 09:00:00","12/29/2020 08:00:00","0.496","1.04","0.379","0.547","0.917","0.403","0.161","0.057","0.023","0.051","0.045"
"MAC426","2011.0","01/04/2011 09:00:00","01/03/2012 08:00:00","2.347","2.886","1.007","1.199","2.187","1.194","0.238","0.116","0.038","0.078","0.054"
"LYK123","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","5.651","3.727","2.204","1.674","3.851","1.64","0.449","0.075","0.085","0.071","0.076"
"HOX148","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","1.947","2.044","0.718","0.961","1.664","0.811","0.183","0.051","0.048","0.052","0.04"
"CAD150","1998.0","12/30/1997 09:00:00","12/29/1998 08:00:00","1.66","4.504","0.487","1.489","1.952","1.409","","","","",""
"KNZ184","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.402","1.114","1.436","0.614","2.041","0.494","1.477","0.087","0.051","0.078","0.056"
"PNF126","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.584","1.79","0.3","0.689","0.978","0.629","0.134","0.085","0.028","0.052","0.034"
"SAN189","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.339","0.867","1.28","0.485","1.757","0.564","0.359","0.043","0.053","0.052","0.039"
"VPI120","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","8.55","4.524","0.327","1.903","2.199","1.306","0.211","0.071","0.038","0.054","0.032"
"WPB104","1989.0","01/03/1989 09:00:00","01/02/1990 08:00:00","14.424","5.238","0.714","2.458","3.133","1.613","0.18","0.2","0.071","0.155",""
"SAL133","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"SND152","2021.0","12/29/2020 09:00:00","01/04/2022 08:00:00","0.378","1.076","0.648","0.684","1.322","0.449","0.22","0.141","0.04","0.094","0.083"
"SPD111","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.663","1.491","0.457","0.655","1.101","0.522","0.346","0.07","0.039","0.064","0.038"
"POF425","1999.0","12/29/1998 09:00:00","01/04/2000 08:00:00","0.544","0.367","0.08","0.141","0.221","0.113","","","","",""
"ABT147","1997.0","12/31/1996 09:00:00","12/30/1997 08:00:00","5.583","3.096","0.693","2.272","2.929","1.087","","","","",""
"MCK231","1994.0","01/04/1994 09:00:00","01/03/1995 08:00:00","10.605","6.233","0.905","2.925","3.784","1.995","","","","",""
"YOS404","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.425","0.513","0.247","0.455","0.695","0.195","0.099","0.096","0.024","0.052","0.035"
"ANA115","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.613","0.997","1.445","0.657","2.092","0.623","0.294","0.093","0.067","0.062","0.099"
"PAR107","2007.0","01/02/2007 09:00:00","01/01/2008 08:00:00","4.352","4.322","0.479","1.06","1.523","1.247","0.411","0.074","0.043","0.099","0.046"
"GRC474","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","0.341","0.692","0.265","0.745","0.999","0.221","0.166","0.067","0.029","0.033","0.019"
"KEF112","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.575","1.016","0.656","0.507","1.156","0.469","0.142","0.063","0.031","0.044","0.05"
"JOT403","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","0.776","1.198","1.256","2.749","3.961","0.511","0.324","0.214","0.058","0.072",""
"SUM156","2004.0","12/30/2003 09:00:00","01/04/2005 08:00:00","1.324","3.61","0.365","0.879","1.23","0.761","0.121","0.521","0.076","0.083","0.22"
"WNC429","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","0.579","0.823","0.296","0.649","0.935","0.311","0.217","0.036","0.025","0.033","0.033"
"QAK172","2001.0","01/02/2001 09:00:00","01/01/2002 08:00:00","17.42","5.878","1.284","3.286","4.518","1.866","0.356","0.111","0.065","0.069",""
"PIN414","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.389","0.774","0.801","0.578","1.369","0.182","0.14","0.57","0.086","0.063","0.512"
"UVL124","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.597","0.846","1.488","0.562","2.041","0.642","0.316","0.064","0.059","0.053","0.077"
