"SITE_ID","YEAR","SEASON","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"ALH157","2002.0","SU","06/04/2002 09:00:00","09/03/2002 08:00:00","5.248","7.61","0.879","3.578","4.4","2.457","0.682","0.102","0.097","0.11",""
"HOX148","2005.0","WI","11/30/2004 09:00:00","03/01/2005 08:00:00","4.473","2.219","1.61","1.423","3.01","1.104","0.106","0.086","0.024","0.033","0.042"
"PSU106","1992.0","WI","12/03/1991 09:00:00","03/03/1992 08:00:00","22.987","3.934","2.103","1.923","3.995","1.817","","","","",""
"CND125","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.679","1.09","0.629","0.701","1.319","0.461","0.067","0.151","0.029","0.059","0.094"
"KNZ184","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","0.715","2.345","0.872","1.15","2.004","0.598","2.186","0.133","0.072","0.114","0.027"
"LAV410","1997.0","WI","12/03/1996 09:00:00","03/04/1997 08:00:00","0.085","0.122","0.062","0.107","0.167","0.04","","","","",""
"HWF187","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.509","0.92","0.276","0.305","0.576","0.371","0.041","0.09","0.011","0.021","0.065"
"ACA416","2019.0","SU","06/04/2019 09:00:00","09/03/2019 08:00:00","0.239","0.529","0.195","0.316","0.506","0.167","0.053","0.148","0.026","0.048","0.084"
"SND152","2000.0","WI","11/30/1999 09:00:00","02/29/2000 08:00:00","","","","","","","","","","",""
"HOX148","2010.0","WI","12/01/2009 09:00:00","03/02/2010 08:00:00","1.264","1.405","1.264","0.647","1.9","0.789","0.072","0.076","0.017","0.051","0.04"
"NCS415","2003.0","SU","06/03/2003 09:00:00","09/02/2003 08:00:00","0.568","1.137","0.228","0.718","0.934","0.315","0.059","0.182","0.031","0.049",""
"CND125","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.251","1.159","0.196","0.676","0.862","0.351","0.09","0.158","0.037","0.095","0.043"
"OXF122","2019.0","SU","06/04/2019 09:00:00","09/03/2019 08:00:00","0.593","1.496","0.325","1.079","1.386","0.545","0.271","0.044","0.06","0.088","0.033"
"LRL117","2011.0","WI","11/30/2010 09:00:00","03/01/2011 08:00:00","6.681","2.589","0.991","1.405","2.373","1.051","0.144","0.146","0.018","0.046","0.056"
"ALH157","2021.0","WI","12/01/2020 09:00:00","03/02/2021 08:00:00","1.049","1.156","3.38","0.44","3.813","1.151","0.359","0.107","0.041","0.053","0.102"
"PSU106","1999.0","SU","06/01/1999 09:00:00","08/31/1999 08:00:00","6.054","7.348","0.415","3.065","3.431","2.475","","","","",""
"WST109","2010.0","SU","06/01/2010 09:00:00","08/31/2010 08:00:00","0.317","1.536","0.075","0.246","0.317","0.539","0.046","0.027","0.013","0.095","0.042"
"FOR605","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.233","0.535","0.158","0.519","0.669","0.211","0.489","0.02","0.054","0.049","0.02"
"ACA416","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.535","0.716","0.475","0.24","0.711","0.201","0.044","0.519","0.06","0.045","0.671"
"SND152","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","1.802","1.577","1.567","0.628","2.185","0.962","0.207","0.122","0.029","0.065","0.093"
"PSU106","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","7.799","2.282","2.884","0.743","3.616","1.54","0.213","0.235","0.031","0.064","0.202"
"KEF112","2022.0","SU","05/31/2022 09:00:00","08/30/2022 08:00:00","","","","","","","","","","",""
"PSU106","2009.0","SU","06/02/2009 09:00:00","09/01/2009 08:00:00","2.756","4.491","0.225","1.072","1.281","1.595","0.214","0.032","0.034","0.086","0.033"
"DEN417","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","0.579","0.243","0.06","0.043","0.102","0.065","0.019","0.07","0.01","0.008",""
"SHE604","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.386","0.37","0.681","0.242","0.92","0.286","0.078","0.041","0.013","0.017","0.022"
"PNF126","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.2","1.201","0.173","0.464","0.629","0.447","0.098","0.044","0.021","0.065","0.028"
"LYK123","2004.0","SU","06/01/2004 09:00:00","08/31/2004 08:00:00","3.965","5.568","0.953","2.398","3.313","1.794","0.637","0.034","0.122","0.09","0.033"
"PRK134","2012.0","SU","05/29/2012 09:00:00","09/04/2012 08:00:00","0.515","1.159","0.334","0.575","0.9","0.438","0.452","0.024","0.076","0.063","0.032"
"DCP114","2009.0","WI","12/02/2008 09:00:00","03/03/2009 08:00:00","6.25","2.767","2.888","1.158","4.027","1.63","0.216","0.237","0.051","0.073","0.157"
"GRB411","2021.0","WI","12/01/2020 09:00:00","03/02/2021 08:00:00","0.116","0.181","0.108","0.105","0.211","0.042","0.209","0.063","0.019","0.013","0.048"
"DCP114","2021.0","WI","12/01/2020 09:00:00","03/02/2021 08:00:00","0.891","1.295","3.147","0.55","3.689","1.222","0.186","0.169","0.038","0.049","0.158"
"YOS404","1996.0","WI","11/28/1995 09:00:00","02/27/1996 08:00:00","","","","","","","","","","",""
"HOX148","2001.0","SU","05/29/2001 09:00:00","09/04/2001 08:00:00","1.684","4.16","0.219","1.328","1.526","1.388","0.233","0.04","0.058","0.053",""
"SUM156","2010.0","SU","06/01/2010 09:00:00","08/31/2010 08:00:00","0.42","2.215","0.359","0.446","0.798","0.399","0.14","0.527","0.083","0.139","0.312"
"VPI120","1988.0","WI","12/01/1987 09:00:00","03/01/1988 08:00:00","14.461","3.363","0.782","3.077","3.809","","","","","",""
"COW137","2005.0","WI","11/30/2004 09:00:00","03/01/2005 08:00:00","2.074","1.938","0.162","0.846","0.995","0.639","0.051","0.063","0.012","0.051","0.033"
"CND125","1992.0","SU","06/02/1992 09:00:00","09/01/1992 08:00:00","2.786","7.887","0.164","2.124","2.254","2.283","","","","",""
"VPI120","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","5.496","8.395","0.122","1.635","1.731","2.186","0.174","0.069","0.038","0.066","0.03"
"PED108","1993.0","WI","12/01/1992 09:00:00","03/02/1993 08:00:00","10.679","3.56","0.435","2.189","2.589","1.202","","","","",""
"UMA009","2022.0","SU","05/31/2022 09:00:00","08/30/2022 08:00:00","","","","","","","","","","",""
"ROM206","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.162","0.47","0.216","0.534","0.742","0.226","0.178","0.035","0.026","0.068","0.014"
"YEL408","2006.0","SU","05/30/2006 09:00:00","08/29/2006 08:00:00","0.761","0.531","0.082","0.316","0.393","0.206","0.099","0.017","0.017","0.042","0.012"
"WFM105","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","1.236","1.017","0.431","0.515","0.938","0.373","0.049","0.135","0.019","0.025","0.047"
"KEF112","2020.0","SU","06/02/2020 09:00:00","09/01/2020 08:00:00","0.303","1.031","0.095","0.542","0.628","0.357","0.149","0.026","0.035","0.06","0.032"
"PSU106","1997.0","WI","12/03/1996 09:00:00","03/04/1997 08:00:00","18.926","3.905","1.973","2.453","4.388","1.715","","","","",""
